dataset,missing_rate,method,rmse,mae,n_points,imputed_csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,HoltWinters,15721951.291045189,15721951.291045189,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_HoltWinters_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Linear,28492312.0,28492312.0,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Linear_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,KNN-Sklearn,60073212.65899134,60073212.65899134,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_KNN-Sklearn_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Spline,14410939.094966888,14410939.094966888,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Spline_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,Mean,60073212.65899134,60073212.65899134,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_Mean_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.05,LOCF,15891384.0,15891384.0,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr5_LOCF_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,SVD-KNN,4263022.504704118,4263022.504704118,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,SVD-KNN-Hankel,27982114.892538905,27982114.892538905,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_SVD-KNN-Hankel_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,Kalman,44997896.83291268,44997896.83291268,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_Kalman_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,ARIMA,83787186.07034719,83787186.07034719,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_ARIMA_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,HoltWinters,3177662.165850997,3177662.165850997,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_HoltWinters_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,Linear,113241259.0,113241259.0,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_Linear_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,KNN-Sklearn,53486677.66068387,53486677.66068387,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_KNN-Sklearn_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,Spline,197295443.5656377,197295443.5656377,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_Spline_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,Mean,53486677.66068387,53486677.66068387,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_Mean_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.05,LOCF,222027905.5,222027905.5,1,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr5_LOCF_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,SVD-KNN,13648045.872828806,12616422.339984337,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,SVD-KNN-Hankel,10264992.375481324,7815986.237686091,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_SVD-KNN-Hankel_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Kalman,21928963.986098785,16640661.296397712,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Kalman_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,ARIMA,16088391.121311052,13885238.368407687,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_ARIMA_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,HoltWinters,11925794.989478802,10198935.969568955,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_HoltWinters_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Linear,20681276.431358587,14741718.923265815,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Linear_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,KNN-Sklearn,9411641.87566291,7194159.523427712,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_KNN-Sklearn_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Spline,25627062.712402254,17253018.707193203,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Spline_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Mean,9411641.87566291,7194159.523427712,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Mean_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,LOCF,16112242.128371693,13862980.555555556,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_LOCF_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,SVD-KNN,52975679.802290864,44243606.18952626,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,SVD-KNN-Hankel,52131023.2267844,49551162.35954395,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_SVD-KNN-Hankel_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,Kalman,48310337.645194545,39777007.55135107,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_Kalman_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,ARIMA,62539066.87190285,61107950.61079517,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_ARIMA_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,HoltWinters,60730277.70650119,52728133.13565111,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_HoltWinters_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,Linear,75940500.97379877,65448452.66666666,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_Linear_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,KNN-Sklearn,58355528.51226315,50173499.93869498,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_KNN-Sklearn_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,Spline,100390407.94648801,85594281.40306583,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_Spline_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,Mean,58355528.51226315,50173499.93869498,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_Mean_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.05,LOCF,143889829.04824513,106198776.54166666,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr5_LOCF_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,SVD-KNN,15453384.86276518,14573659.74280861,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,SVD-KNN-Hankel,13336649.38737144,11348752.100824833,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_SVD-KNN-Hankel_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Kalman,18365475.279948704,14081282.425835341,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Kalman_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,ARIMA,16221539.775091982,14028490.512697816,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_ARIMA_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,HoltWinters,17200996.75871238,14843842.721786618,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_HoltWinters_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Linear,19172863.075979237,17366569.9375,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Linear_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,KNN-Sklearn,12266790.97587558,11531273.335593224,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_KNN-Sklearn_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Spline,26568318.921420258,21798813.598179966,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Spline_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,Mean,12266790.97587558,11531273.335593224,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_Mean_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.05,LOCF,16707467.025548102,14482765.75,4,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr5_LOCF_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.05,SVD-KNN,50432057.12498396,41315337.78642019,9,C:\Users\Clara\Documents\Pesquisa\HAIL\data\imputation\imputed_sample_data\5\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr5_SVD-KNN_imputed.csv
