dataset,missing_rate,method,rmse,mae,n_points,imputed_csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,SVD_KNN,85385470.18555513,69255736.38147478,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,SVD_KNN_Hankel,72079921.80683844,66644732.06170952,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,Kalman,628882565.6006825,399136464.1473531,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,ARIMA,36558441.607044056,32508108.9280922,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,HoltWinters,42022591.904932946,33734036.94266542,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,Linear,51223090.67188949,50912761.26388887,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,KNN_Sklearn,74394838.14844346,58041526.49748822,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,Spline,68277537.51043138,66880029.13493828,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,Mean,74394838.14844346,58041526.49748822,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h,0.1,LOCF,30885194.1850037,28253854.388888877,3,./data/imputation\imputed_sample_data\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_mr10_LOCF_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,SVD_KNN,101429569.63669181,84947090.56466539,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,SVD_KNN_Hankel,109414299.56070067,84639984.55844219,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Kalman,2021994142.4160807,1548839208.0975952,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,ARIMA,100401397.8538489,76273520.34656747,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,HoltWinters,128499063.82681343,100176307.44661593,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Linear,139452341.78351793,115431303.25,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,KNN_Sklearn,105175745.3505877,83015780.07136059,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Spline,157124674.31860197,127789579.09533763,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,Mean,105175745.3505877,83015780.07136059,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,0.1,LOCF,99056697.27176988,72871060.16666667,3,./data/imputation\imputed_sample_data\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_mr10_LOCF_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,SVD_KNN,51136828.2135859,40995589.16641077,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,SVD_KNN_Hankel,28791305.86949834,27526829.105214756,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,Kalman,602151208.7254401,398675303.97896385,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,ARIMA,142069476.3653414,115356705.82290578,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,HoltWinters,61112892.72552644,52300558.50938638,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,Linear,97257914.14640088,84916179.0,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,KNN_Sklearn,68738561.51382966,68186616.142825,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,Spline,158279731.46661675,135912197.3706536,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,Mean,68738561.51382966,68186616.142825,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,0.1,LOCF,160913856.98033926,134376843.33333334,3,./data/imputation\imputed_sample_data\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_mr10_LOCF_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,SVD_KNN,13133413.55176918,11284643.254236145,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,SVD_KNN_Hankel,13696003.95157603,9955667.69394822,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Kalman,276056470.2494145,91416299.0773381,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,ARIMA,18096309.417982586,15980293.001094067,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,HoltWinters,12338512.487941427,10593018.811875176,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Linear,20510123.675774116,15609277.639340267,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,KNN_Sklearn,13472153.192171711,10014593.519884193,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Spline,24693414.16515523,17726398.805400223,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Mean,13472153.192171711,10014593.519884193,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,LOCF,18007884.03504666,15573979.0,17,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_LOCF_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,SVD_KNN,47286615.4383433,39209037.86329514,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,SVD_KNN_Hankel,47230194.59449818,39604672.28654899,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,Kalman,336173427.74815506,170447787.82849318,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,ARIMA,71341491.3942178,62776859.52672001,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,HoltWinters,75633825.13193431,64198304.84012784,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,Linear,68858780.69766611,51198637.916666664,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,KNN_Sklearn,51162821.9725414,41236584.923455104,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,Spline,102486190.14392346,84240483.10878469,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,Mean,51162821.9725414,41236584.923455104,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h,0.1,LOCF,121720636.49940208,91529861.26666667,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_mr10_LOCF_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,SVD_KNN,16455965.223343814,14627671.594872724,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,SVD_KNN_Hankel,14505500.002359932,12373965.786616623,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Kalman,338577140.50792015,138712104.0990557,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,ARIMA,14116179.404967055,11948694.171755588,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,HoltWinters,18583758.518630218,17001617.21892048,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Linear,17163423.198366195,15754165.9,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,KNN_Sklearn,14330715.576917127,12287835.738035727,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Spline,26073214.018679067,24236071.921026804,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,Mean,14330715.576917127,12287835.738035727,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h,0.1,LOCF,14298444.896694941,11559995.3,10,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_mr10_LOCF_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,SVD_KNN,36895523.56436243,25770597.415003996,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,SVD_KNN_Hankel,40354889.05557795,30248457.822308514,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,Kalman,214688095.30588752,92492198.4114167,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_Kalman_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,ARIMA,43710376.59427698,33192786.343194213,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_ARIMA_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,HoltWinters,34661089.565933414,26902768.950107172,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_HoltWinters_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,Linear,36554907.052462175,27061161.836419754,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_Linear_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,KNN_Sklearn,34655083.09039954,27146901.477489933,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_KNN_Sklearn_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,Spline,34083524.36362276,26440595.724523272,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_Spline_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,Mean,34655083.09039954,27146901.477489933,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_Mean_imputed.csv
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h,0.1,LOCF,40091392.07849452,30440256.027777776,18,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_mr10_LOCF_imputed.csv
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,0.1,SVD_KNN,38360967.66311166,28788227.692954287,9,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_mr10_SVD_KNN_imputed.csv
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,0.1,SVD_KNN_Hankel,33875930.26522152,24851453.70160034,9,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_mr10_SVD_KNN_Hankel_imputed.csv
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h,0.1,Kalman,83604932.52291141,58996478.713955775,9,./data/imputation\imputed_sample_data\esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_mr10_Kalman_imputed.csv
